,model_dropout_0.0,model_dropout_0.6,model_dropout_0.4,model_dropout_0.8,model_dropout_0.2
1,98.5278,117.9335,108.9069,143.5467,101.5845
2,37.6348,61.4992,49.5648,93.3612,42.4722
3,29.4564,54.0619,41.5646,87.2436,34.5087
4,25.3756,50.115,37.6574,83.9979,30.6434
5,22.8624,47.6307,35.2404,82.0578,28.248
6,21.0769,45.9684,33.7201,80.8831,26.6132
7,16.9971,44.6388,32.495,80.0716,25.4712
8,15.132,43.7594,29.1443,79.4249,24.6092
9,13.9843,42.937,27.8633,78.7608,23.9592
10,13.5446,39.4404,27.2705,78.2869,23.456
11,13.3566,37.8926,26.8217,77.9881,23.0276
12,13.2947,37.1371,26.468,77.6117,20.1742
13,13.2779,36.6286,26.0925,77.2865,19.0204
14,13.2738,36.1157,25.833,76.994,18.5237
15,13.2728,35.7775,25.5325,71.5592,18.1444
16,13.2725,35.4539,25.2461,68.4098,17.8441
17,13.2725,35.183,25.0793,66.8923,17.5826
18,13.2725,34.4916,24.8168,66.063,17.0097
19,13.2725,34.1509,24.6255,65.2453,16.7487
20,13.2725,33.9841,24.4013,64.5324,16.6074
21,13.2725,33.8362,24.2585,64.0319,16.4841
22,13.2725,33.7004,24.0749,63.5241,16.3984
23,13.2725,33.5617,23.4002,62.5282,16.4005
24,13.2725,33.4983,23.1167,61.904,16.341
25,13.2725,33.4119,22.9525,61.5446,16.3505
26,13.2725,33.4285,22.8194,61.2004,16.3891
27,13.2725,33.3676,22.724,61.0387,16.3694
28,13.2725,33.3593,22.7245,60.846,16.3743
29,13.2725,33.3154,22.6814,60.7379,16.3373
30,13.2725,33.3391,22.6459,60.6797,16.3592
31,13.2725,33.3249,22.5917,60.7287,16.3523
32,13.2725,33.3744,22.559,60.6879,16.357
33,13.2725,33.3032,22.5745,60.5835,16.3623
34,13.2725,33.2693,22.5587,60.5581,16.3551
35,13.2725,33.3462,22.5842,60.6194,16.3668
36,13.2725,33.3278,22.5884,60.6039,16.3437
37,13.2725,33.2866,22.55,60.5402,16.36
38,13.2725,33.3202,22.5623,60.576,16.3677
39,13.2725,33.3495,22.5289,60.5018,16.3667
40,13.2725,33.3017,22.5428,60.5127,16.3732
